ID,Sensor1,Sensor2,Sensor3,Sensor4,Compound
373,4426000,14128100,17134833,215830,Acetone
374,4427810,14206100,17409811,215848,Acetone
375,4436500,14263500,17184800,215454,Acetone
376,4439620,14254200,17080141,215341,Acetone
377,4436180,14359900,17474944,215156,Acetone
378,4421690,14327100,17080073,215166,Acetone
379,4427240,14339400,17143641,215260,Acetone
380,4412860,14316500,17443409,215250,Acetone
381,4405490,14298800,17221198,215402,Acetone
382,4393640,14258200,17236654,215541,Acetone
383,4421130,14285300,17099683,215549,Acetone
384,4437710,14277300,17109577,215366,Acetone
385,4422800,14301800,17361705,215189,Acetone
386,4425040,14290300,17493400,215095,Acetone
387,4421290,14331500,17477958,214981,Acetone
388,4436780,14290300,17289743,214874,Acetone
389,4434630,14162200,17176754,215166,Acetone
390,4444610,14151100,17499907,215047,Acetone
391,4444670,14163300,17299872,215086,Acetone
392,4452920,14219600,17383326,215125,Acetone
393,4436280,14203100,17267699,215332,Acetone
394,4435640,14199400,17144649,215180,Acetone
395,4450960,14109000,17104543,215236,Acetone
396,4445930,14041900,17076014,215058,Acetone
397,4444180,13989200,17208263,214990,Acetone
398,4450870,13857600,17457978,214992,Acetone
399,4453140,13938100,17298415,215035,Acetone
400,4462850,13947600,17494845,215089,Acetone
401,4470280,13959500,17278545,214982,Acetone
402,4452410,13991400,17482936,215210,Acetone
403,4465450,13831800,17384070,215067,Acetone
404,4450120,14028100,17184509,215221,Acetone
405,4462280,13954000,17130893,215172,Acetone
406,4467100,13989000,17389044,215114,Acetone
407,4458750,13991100,17393266,214929,Acetone
408,4467960,13987700,17211873,215010,Acetone
409,4468010,13826900,17223074,215002,Acetone
410,4494040,13839600,17275417,214977,Acetone
411,4504170,13795900,17426713,214952,Acetone
412,4492350,13874300,17234409,214949,Acetone
413,4471360,13895800,17148200,215098,Acetone
414,4472490,14048300,17145773,215146,Acetone
415,4466800,14050500,17184523,215080,Acetone
416,4473260,13901900,17151412,215399,Acetone
417,4471390,13914200,17183666,215322,Acetone
418,4478530,13902700,17244314,215263,Acetone
419,4491470,13901500,17326143,215108,Acetone
420,4476540,13734700,17493755,215051,Acetone
421,4465030,13763000,17089239,215219,Acetone
422,4474530,13742200,17388982,215558,Acetone
423,4471470,13739500,17282044,215265,Acetone
424,4460080,13728700,17365389,215085,Acetone
425,4468160,13757800,17343477,215239,Acetone
426,4447040,13794600,17133395,215209,Acetone
427,4461360,13771700,17415133,215139,Acetone
428,4438290,13831000,17066028,215206,Acetone
429,4481270,13878700,17370872,214913,Acetone
430,4460860,13842600,17138291,215052,Acetone
431,4450290,13836600,17333366,215072,Acetone
432,4452600,13777300,17414241,215051,Acetone
433,4459610,13707000,17484869,215011,Acetone
434,4441900,13623300,17224068,214837,Acetone
435,4440070,13599000,17508410,214844,Acetone
436,4426100,13569900,17498123,214746,Acetone
437,4447000,13728900,17262673,214866,Acetone
438,4438990,13655700,17399674,214696,Acetone
439,4439540,13560100,17119254,214692,Acetone
440,4421670,13476500,17199535,215001,Acetone
441,4425620,13463700,17261559,214826,Acetone
442,4439810,13420600,17422974,214536,Acetone
443,4436610,13326400,17194564,214603,Acetone
444,4431530,13397900,17461667,214514,Acetone
445,4444770,13250100,17482375,214464,Acetone
446,4433470,13304700,17218610,214343,Acetone
447,4435840,13302300,17234851,214375,Acetone
448,4435710,13268200,17491080,214387,Acetone
449,4448590,13273500,17400584,214375,Acetone
450,4441200,13546600,17204020,214405,Acetone
451,4443500,13658000,17389165,214265,Acetone
452,4430950,13652900,17388047,214112,Acetone
453,4432740,13630800,17287146,214037,Acetone
454,4428080,13549600,17385461,214001,Acetone
455,4469680,13533300,17348403,213907,Acetone
456,4464950,13587100,17381546,213819,Acetone
457,4448150,13872600,17130813,213945,Acetone
458,4457530,14369800,17237693,214103,Acetone
459,4441130,14016100,17156592,214101,Acetone
460,4443380,14022000,17066051,213972,Acetone
461,4431070,13741100,17355440,213902,Acetone
462,4418650,13712000,17272537,213796,Acetone
463,4409420,13595400,17303361,213935,Acetone
464,4407350,13795200,17427677,213930,Acetone
465,4399300,13843600,17140068,213714,Acetone
466,4401070,14104900,17302352,213991,Acetone
467,4398300,14391900,17387624,213810,Acetone
468,4396750,14737500,17199275,213781,Acetone
469,4395690,13891663,17141955,213600,Acetone
470,4370820,14459941,17325794,213706,Acetone
471,4373200,13680650,17305549,213581,Acetone
472,4364310,14219439,17430144,213437,Acetone
473,4364930,14622481,17332030,213621,Acetone
474,4376940,14436272,17508271,213454,Acetone
475,4384760,13667621,17277328,213418,Acetone
476,4380110,13385667,17156534,213405,Acetone
477,4346300,13681382,17486081,213479,Acetone
478,4343750,13671079,17326850,213307,Acetone
479,4361280,13420086,17307338,213161,Acetone
480,4342370,14155685,17084846,213565,Acetone
481,4351960,13804939,17454294,213192,Acetone
482,4336950,13849077,17122895,213379,Acetone
483,4332730,14107830,17377617,212981,Acetone
484,4335710,13816660,17124332,213193,Acetone
485,4335140,13691291,17307348,213078,Acetone
486,4335160,14258805,17074335,212809,Acetone
487,4337290,13579055,17349232,212587,Acetone
488,4334430,13746104,17195058,212726,Acetone
489,4318310,13362027,17262099,212624,Acetone
490,4300780,13259990,17181449,212583,Acetone
491,4298140,13790176,17219131,212424,Acetone
